	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0035878"	174.31	166.91	169.24	173.81	171.64	176.74	130.32	128.14	127.35	182.97	192.22	193.20	201.68	178.24	164.54
"FBgn0035879"	11.77	12.78	14.34	13.02	12.70	12.76	1.61	0.73	1.28	9.34	7.91	9.05	10.07	12.27	15.27
"FBgn0035880"	0.30	0.45	0.52	0.55	0.53	0.60	0.96	1.00	0.95	1.12	1.12	1.09	0.52	0.42	0.73
"FBgn0035886"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035887"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035888"	1.58	2.02	1.87	2.63	3.12	2.98	0.06	0.03	0.03	1.50	1.25	1.25	1.33	1.78	1.51
"FBgn0035889"	31.96	33.24	35.98	35.74	36.11	35.58	5.09	3.44	5.12	30.92	27.88	36.38	33.08	32.16	37.88
"FBgn0035890"	15.29	13.22	12.49	16.30	16.38	16.06	23.18	23.38	21.57	18.98	17.15	17.01	16.66	13.62	17.52
"FBgn0035896"	72.92	66.38	56.75	73.76	75.74	73.38	46.85	48.46	46.77	85.22	80.86	81.56	71.42	79.93	60.26
"FBgn0035900"	9.09	11.15	10.22	11.65	11.80	13.05	15.50	13.53	15.96	7.61	8.59	8.90	8.40	8.69	9.41
"FBgn0035901"	21.65	24.30	28.32	21.99	21.97	21.85	5.36	4.24	5.88	14.83	15.35	16.53	16.07	20.52	20.29
"FBgn0035902"	77.26	72.30	60.04	69.10	64.86	65.99	97.34	112.64	92.18	83.27	88.57	78.21	82.23	83.22	71.37
"FBgn0035903"	0.09	0.07	0.02	0.09	0.07	0.03	0.00	0.09	0.00	0.04	0.12	0.06	0.00	0.00	0.02
"FBgn0035904"	2.93	3.67	2.65	2.80	2.98	3.42	0.10	0.10	0.00	2.34	2.19	3.08	2.25	3.24	2.10
"FBgn0035906"	310.39	268.66	256.24	325.98	315.15	331.28	392.46	450.87	411.46	359.97	351.46	349.24	328.87	282.18	282.62
"FBgn0035907"	155.20	127.12	113.40	144.85	137.43	148.84	88.77	115.03	108.30	186.82	184.75	178.44	154.56	171.45	127.60
"FBgn0035909"	87.95	91.43	90.46	97.25	95.64	90.96	110.20	108.14	106.48	88.69	91.01	94.49	86.15	80.75	91.91
"FBgn0035911"	30.43	32.16	26.01	41.20	37.18	43.02	1.13	0.91	1.93	20.54	21.97	21.91	24.62	39.69	25.47
"FBgn0035914"	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035915"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.03	0.00	0.00
"FBgn0035916"	67.77	60.65	56.04	70.20	69.99	68.45	92.77	99.97	88.67	73.00	70.68	74.53	71.73	62.52	70.16
"FBgn0035917"	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.21	0.00	0.05
"FBgn0035918"	63.94	69.15	77.92	74.94	76.40	78.81	114.96	93.73	109.50	61.24	60.76	58.19	60.77	44.56	75.40
"FBgn0035921"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035922"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035923"	12.26	13.40	14.53	11.33	12.86	11.92	1.65	0.74	1.61	8.46	7.11	9.61	8.85	10.24	12.05
"FBgn0035924"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035926"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.30
"FBgn0035928"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035929"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035931"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035932"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035933"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035934"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035936"	151.29	151.64	143.62	148.09	153.89	143.45	94.62	88.64	91.47	139.44	121.33	137.38	153.74	143.92	158.06
"FBgn0035941"	0.11	0.18	0.15	0.09	0.16	0.33	0.06	0.06	0.17	0.10	0.05	0.05	0.26	0.22	0.15
"FBgn0035942"	8.62	9.44	8.79	10.26	9.97	11.01	1.20	0.79	1.46	8.10	7.37	8.74	8.35	9.71	9.60
"FBgn0035943"	0.05	0.04	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035944"	60.06	51.22	42.09	76.42	78.79	86.24	8.43	7.33	7.09	67.10	62.20	67.59	70.12	80.74	55.07
"FBgn0035945"	64.79	72.46	76.97	77.07	77.86	78.98	89.38	80.59	89.21	55.60	57.65	58.03	60.22	65.57	74.67
"FBgn0035947"	119.03	114.14	110.80	134.26	128.67	132.81	42.21	34.73	38.88	111.25	106.38	120.70	108.62	131.26	100.59
"FBgn0035948"	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00
"FBgn0035949"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035951"	42.99	42.37	38.89	53.97	52.14	54.67	49.49	61.08	55.82	45.52	52.85	55.66	54.54	56.14	50.46
"FBgn0035952"	0.08	0.14	0.15	0.20	0.30	0.07	0.09	0.27	0.17	0.23	0.00	0.15	0.16	0.17	0.11
"FBgn0035953"	17.44	22.69	25.98	21.24	23.76	22.61	16.91	12.72	16.80	15.16	13.95	17.04	17.14	16.46	24.91
"FBgn0035954"	0.00	0.00	0.00	0.00	0.13	0.23	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00
"FBgn0035955"	55.99	46.84	44.53	79.50	74.56	80.85	3.32	3.44	2.77	52.16	55.78	49.29	41.45	54.50	33.12
"FBgn0035956"	0.00	0.03	0.00	0.06	0.08	0.26	0.00	0.04	0.00	0.04	0.07	0.07	0.00	0.00	0.00
"FBgn0035957"	5.87	5.55	7.13	9.16	8.59	10.28	14.12	12.91	11.72	7.70	9.27	7.67	5.98	4.95	5.67
"FBgn0035959"	98.20	114.41	113.98	79.02	85.62	76.57	194.76	206.01	184.99	91.48	80.24	75.77	84.76	77.23	133.27
"FBgn0035960"	28.66	23.62	18.15	29.27	29.58	29.03	27.24	36.59	31.50	31.65	34.94	30.91	32.28	32.11	25.62
"FBgn0035964"	75.57	65.14	55.81	87.77	86.26	91.19	11.83	8.50	10.75	79.64	85.62	85.18	82.45	90.63	76.18
"FBgn0035965"	105.19	92.14	80.41	109.67	105.26	99.25	61.88	66.36	58.79	123.30	118.85	124.51	103.16	103.89	89.83
"FBgn0035968"	0.03	0.02	0.00	0.06	0.07	0.04	0.07	0.04	0.14	0.07	0.07	0.02	0.00	0.00	0.00
"FBgn0035969"	34.95	35.62	29.81	41.22	40.15	43.85	0.25	0.39	0.56	44.69	40.96	35.90	37.17	53.97	45.19
"FBgn0035970"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035971"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035975"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0035976"	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.38	0.83	0.19	0.00	0.00	0.03
"FBgn0035977"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00
"FBgn0035978"	142.53	137.65	132.74	159.78	156.72	154.84	14.09	9.65	15.21	137.31	137.27	146.85	147.44	162.97	137.66
"FBgn0035980"	59.36	46.66	44.77	65.60	64.66	67.45	70.24	86.85	74.84	77.76	74.17	75.37	72.90	64.78	54.39
"FBgn0035981"	72.80	77.18	75.22	87.68	84.50	87.76	103.56	93.59	100.28	69.21	79.11	77.63	78.39	60.95	84.14
"FBgn0035982"	0.10	0.08	0.26	0.00	0.00	0.00	0.00	0.10	0.10	0.09	0.10	0.00	0.09	0.20	0.07
"FBgn0035983"	27.18	29.52	32.08	24.70	27.79	23.54	23.26	17.38	20.83	23.14	17.66	21.67	25.15	22.75	32.66
"FBgn0035985"	0.00	0.34	0.36	0.26	0.12	0.00	0.58	0.17	0.42	0.00	0.48	0.29	0.08	0.00	0.11
"FBgn0035986"	28.87	32.16	35.46	27.79	28.13	25.98	49.91	46.53	49.63	29.47	26.23	28.13	30.14	31.71	38.44
"FBgn0035987"	89.24	82.60	76.18	116.19	105.25	118.44	7.36	5.45	6.50	105.99	100.81	104.44	89.50	120.16	76.77
"FBgn0035988"	0.11	0.00	0.00	0.00	0.04	0.04	0.00	0.00	0.05	0.00	0.16	0.00	0.10	0.10	0.07
"FBgn0035989"	28.87	29.37	31.14	28.44	30.39	27.90	20.02	16.69	18.07	30.30	26.66	28.30	24.44	24.26	27.07
"FBgn0035993"	49.92	49.61	47.87	40.07	41.26	39.03	52.24	58.59	52.41	53.71	51.17	46.85	56.06	53.59	47.24
"FBgn0035995"	13.56	15.69	14.71	20.22	18.25	20.59	0.78	0.55	1.00	12.17	11.81	11.43	13.31	18.79	14.00
"FBgn0035996"	25.91	23.39	21.39	26.93	26.68	28.01	34.03	40.86	36.61	29.49	27.87	24.82	26.72	30.17	26.19
"FBgn0035997"	86.40	98.55	102.94	83.88	86.87	77.34	14.52	8.06	14.88	70.81	67.76	75.63	82.80	89.75	96.75
"FBgn0035998"	100.02	88.10	74.57	98.93	96.93	93.87	50.99	54.82	51.15	105.99	119.94	116.62	89.66	100.92	69.74
"FBgn0035999"	40.93	38.06	38.35	43.02	39.19	41.20	20.35	21.87	22.28	41.22	41.56	42.56	37.09	39.47	31.12
"FBgn0036000"	21.45	19.45	14.79	26.67	24.72	31.76	29.75	33.97	27.99	22.38	31.38	27.44	23.24	19.03	24.00
"FBgn0036004"	11.91	29.63	39.18	7.25	11.02	4.60	37.71	20.39	34.57	6.57	5.90	5.97	7.72	15.72	25.77
"FBgn0036005"	98.86	89.61	79.97	112.52	113.01	116.24	82.91	86.94	85.74	114.82	114.34	127.27	109.89	97.63	96.63
"FBgn0036007"	91.54	93.23	83.10	109.90	104.86	106.33	3.74	2.89	3.17	91.34	63.88	77.26	113.23	137.38	113.30
"FBgn0036008"	88.59	85.78	78.80	103.07	97.69	97.46	47.37	49.53	46.25	82.89	84.19	94.55	92.19	103.95	94.63
"FBgn0036009"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00
"FBgn0036010"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036014"	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00
"FBgn0036015"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036016"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00
"FBgn0036018"	34.85	33.70	37.87	30.10	32.41	30.03	55.15	49.08	51.62	35.90	29.15	36.34	31.15	23.88	40.85
"FBgn0036019"	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036020"	77.73	70.75	68.39	76.67	78.48	82.60	108.59	124.51	119.85	81.91	86.72	88.76	83.73	78.80	78.26
"FBgn0036022"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00
"FBgn0036023"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036024"	0.10	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00
"FBgn0036028"	32.88	31.24	25.87	38.38	36.14	37.68	1.15	1.83	1.40	26.35	27.07	28.00	28.27	39.36	27.81
"FBgn0036029"	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.08	0.00	0.07	0.22	0.07	0.00	0.00	0.00
"FBgn0036030"	145.84	140.47	133.39	171.09	171.47	164.97	193.53	229.50	208.71	159.04	151.96	136.35	154.23	133.44	162.71
"FBgn0036031"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.02
"FBgn0036032"	6.80	11.08	12.57	3.78	4.65	2.31	0.88	0.38	0.88	3.99	3.58	4.07	5.31	8.69	9.93
"FBgn0036035"	146.65	141.08	129.05	132.52	130.69	121.91	184.19	198.51	181.34	160.59	129.91	136.64	143.32	125.91	139.36
"FBgn0036036"	18.55	15.32	13.81	17.54	18.48	18.62	22.10	24.96	25.54	24.05	21.02	21.16	20.70	19.14	16.75
"FBgn0036038"	14.26	15.76	16.90	20.49	21.66	21.42	5.11	4.00	5.57	10.71	11.22	11.72	12.13	12.82	14.46
"FBgn0036039"	40.88	40.12	43.24	42.29	43.90	41.29	62.23	61.07	63.79	42.69	41.25	40.47	36.81	27.01	42.21
"FBgn0036040"	0.04	0.03	0.00	0.03	0.00	0.00	0.21	0.13	0.08	0.04	0.00	0.07	0.00	0.00	0.00
"FBgn0036043"	30.02	45.59	50.23	24.55	31.57	22.90	62.01	42.91	57.57	21.71	17.65	23.84	27.24	26.47	48.74
"FBgn0036044"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036046"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036052"	24.54	26.22	24.39	33.47	31.03	32.74	5.44	3.56	4.52	18.87	22.19	24.08	27.70	31.18	28.77
"FBgn0036053"	28.93	31.40	33.19	40.10	39.34	39.56	5.25	3.69	5.10	23.88	22.62	26.34	29.84	35.58	38.50
"FBgn0036056"	0.50	1.28	0.23	0.90	0.34	0.26	0.17	0.17	0.34	0.46	0.19	0.43	0.23	0.81	0.30
"FBgn0036057"	0.24	0.42	0.35	1.22	0.56	0.70	0.61	0.51	0.50	0.78	0.23	0.64	0.74	0.59	0.24
"FBgn0036058"	98.43	103.20	95.14	111.77	109.99	116.80	90.98	89.63	88.02	121.70	114.32	120.39	129.18	130.30	128.07
"FBgn0036059"	119.55	123.96	118.69	118.70	115.19	100.45	158.67	151.42	147.09	131.60	103.31	124.84	137.56	108.39	163.08
"FBgn0036062"	87.50	77.55	69.30	77.72	74.93	77.20	106.09	138.51	106.63	108.98	119.72	110.74	132.29	118.85	93.01
"FBgn0036063"	59.64	52.38	47.19	64.78	63.58	66.30	64.79	87.46	81.71	80.72	79.58	72.79	86.46	95.65	75.38
"FBgn0036066"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036070"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.07	0.10
"FBgn0036072"	0.07	0.06	0.07	0.06	0.00	0.06	0.15	0.00	0.00	0.14	0.07	0.07	0.07	0.00	0.00
"FBgn0036075"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06
"FBgn0036078"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036080"	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036082"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.04	0.00
"FBgn0036083"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036085"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00
"FBgn0036089"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036090"	87.02	86.02	67.13	83.50	85.36	84.90	97.17	103.12	103.51	103.73	105.56	91.05	92.73	90.43	81.78
"FBgn0036091"	2.68	4.03	0.00	0.00	0.32	0.00	0.00	0.00	0.00	4.19	4.49	5.86	6.66	3.04	0.00
"FBgn0036093"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036094"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036096"	58.98	50.36	51.64	63.47	61.06	63.22	28.02	26.58	25.37	68.68	60.18	66.29	80.76	79.77	65.94
"FBgn0036099"	112.10	113.32	110.74	118.65	122.77	119.52	159.67	172.11	162.92	122.06	119.28	110.58	125.19	118.19	129.62
"FBgn0036101"	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.14	0.07	0.00	0.00	0.00	0.00
"FBgn0036102"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036104"	42.50	49.69	54.21	44.51	48.22	48.68	83.94	64.40	72.51	39.53	38.39	42.83	43.32	34.22	56.03
"FBgn0036105"	136.87	115.33	96.39	107.44	101.44	99.16	156.46	204.59	165.21	152.35	162.72	142.33	138.89	162.36	110.14
"FBgn0036106"	0.07	0.00	0.00	0.00	0.04	0.05	0.00	0.14	0.00	0.06	0.16	0.06	0.00	0.00	0.00
"FBgn0036107"	124.50	101.68	82.09	115.66	109.43	123.90	84.89	108.05	102.84	122.18	131.02	128.19	142.02	143.54	95.68
"FBgn0036108"	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036109"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036110"	4.24	2.25	1.75	2.31	1.95	1.91	4.48	4.39	4.32	5.80	8.89	2.40	0.00	0.00	0.00
"FBgn0036111"	227.18	265.15	267.38	195.57	205.44	191.35	443.74	442.44	414.40	201.07	179.14	161.62	175.45	153.52	287.21
"FBgn0036112"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036116"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036117"	50.05	47.74	38.60	52.37	49.80	48.70	65.72	74.22	65.59	66.68	60.04	55.77	58.15	63.84	51.18
"FBgn0036118"	71.10	61.39	52.95	61.21	59.79	68.62	89.64	102.63	89.33	79.68	84.02	89.34	92.92	98.04	62.18
"FBgn0036121"	20.20	14.97	16.51	14.60	14.91	15.45	22.51	25.39	24.70	43.83	33.54	28.73	25.38	22.20	18.84
"FBgn0036124"	43.28	52.39	63.75	33.73	39.70	32.43	83.92	63.77	76.93	40.11	29.55	34.84	37.34	33.37	58.58
"FBgn0036125"	0.00	0.13	0.07	0.26	0.14	0.14	0.24	0.51	0.03	0.15	0.11	0.29	0.15	0.25	0.06
"FBgn0036126"	72.74	64.03	56.92	59.34	50.72	49.57	62.79	80.30	73.16	86.24	90.04	88.86	75.48	81.15	64.57
"FBgn0036128"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036131"	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036133"	101.56	95.21	94.27	127.59	119.91	121.82	106.13	98.49	104.04	106.46	110.67	123.33	111.12	100.40	98.25
"FBgn0036134"	27.50	36.13	42.60	23.21	28.05	22.98	62.34	47.25	58.12	27.02	20.61	23.64	27.39	26.13	37.68
"FBgn0036135"	19.84	15.22	12.68	18.05	16.61	21.82	1.20	2.16	2.44	13.97	20.47	16.85	15.57	18.74	13.30
"FBgn0036136"	92.82	81.82	79.39	88.78	90.49	100.44	6.76	4.93	8.04	75.07	91.16	86.84	84.10	105.97	80.16
"FBgn0036138"	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036139"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036141"	54.38	58.09	62.64	58.59	58.26	62.85	96.71	77.77	86.09	53.21	56.10	53.71	54.08	38.14	59.53
"FBgn0036142"	16.24	18.03	19.24	19.40	19.69	20.16	23.91	22.80	23.93	17.21	18.60	18.57	17.53	18.52	17.37
"FBgn0036143"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036144"	32.09	38.28	34.28	33.22	35.15	32.89	5.76	3.60	5.40	25.12	25.11	27.42	32.17	41.29	38.59
"FBgn0036145"	0.28	0.23	0.25	0.00	0.20	0.12	1.27	0.59	0.57	0.13	0.14	0.00	0.00	0.00	0.00
"FBgn0036146"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036147"	19.12	17.81	19.17	19.96	20.68	21.40	35.77	27.02	34.18	17.66	17.32	18.73	16.05	10.64	19.60
"FBgn0036150"	0.00	0.00	0.00	0.02	0.04	0.17	0.03	0.03	0.00	0.00	0.00	0.03	0.00	0.00	0.00
"FBgn0036152"	26.87	30.10	30.60	16.59	19.38	16.20	22.18	22.21	21.61	28.84	26.35	27.46	25.62	33.42	28.89
"FBgn0036153"	0.05	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036154"	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036155"	6.09	7.67	7.53	7.37	8.04	7.84	0.38	0.35	0.49	5.93	5.47	7.27	9.89	12.42	9.81
"FBgn0036156"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036157"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036158"	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00
"FBgn0036159"	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00
"FBgn0036160"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036161"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00
"FBgn0036162"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036165"	44.38	47.97	50.45	47.01	49.94	42.26	14.67	12.99	14.89	38.70	32.44	38.80	39.84	45.69	53.40
"FBgn0036168"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00
"FBgn0036170"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00
"FBgn0036173"	196.78	148.92	134.15	160.23	144.60	157.27	109.93	139.01	128.22	229.34	244.17	225.58	244.60	251.51	180.22
"FBgn0036176"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036177"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036178"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036179"	0.06	0.02	0.00	0.00	0.02	0.00	0.00	0.03	0.08	0.00	0.03	0.02	0.03	0.03	0.02
"FBgn0036180"	38.84	42.56	44.53	44.86	44.82	45.14	9.93	7.21	10.62	32.73	29.78	35.28	37.66	49.62	48.75
"FBgn0036181"	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.01	0.00
"FBgn0036183"	0.00	0.00	0.00	0.05	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036184"	102.22	88.62	77.96	94.80	92.93	101.22	128.89	137.22	129.89	114.44	123.05	126.30	116.96	99.38	92.17
"FBgn0036186"	0.17	0.08	0.11	0.02	0.09	0.06	0.12	0.08	0.05	0.00	0.02	0.02	0.02	0.02	0.08
"FBgn0036187"	77.75	72.06	73.85	72.86	72.95	70.37	86.08	89.07	85.61	72.02	61.92	65.19	67.10	63.08	72.05
"FBgn0036188"	84.16	67.45	63.92	71.55	70.60	77.30	10.19	10.00	10.06	84.15	84.45	80.74	79.50	92.40	54.77
"FBgn0036191"	19.84	22.60	25.03	21.32	21.38	21.49	18.99	15.86	18.18	18.52	18.43	17.65	17.30	16.46	21.80
"FBgn0036192"	46.93	43.09	35.47	42.38	41.27	43.06	60.58	78.21	67.72	51.33	53.65	43.18	38.21	39.90	38.62
"FBgn0036193"	56.11	48.70	40.91	47.54	48.24	48.04	72.11	91.80	75.38	64.58	68.44	61.64	49.98	49.97	44.61
"FBgn0036194"	76.51	83.48	81.66	81.45	84.17	81.99	112.40	103.75	108.33	85.29	72.36	80.02	85.29	68.07	90.71
"FBgn0036195"	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0036196"	3.22	3.56	2.99	5.32	5.71	5.53	5.10	5.13	5.54	3.12	2.95	2.63	3.11	1.75	3.15
